Link,Title,Location,Salary,Summary
https://www.indeed.com/viewjob?jk=ed0640f1ab844121,Research Assistant / Research Associate - MC&G,"Woods Hole Oceanographic Institution 4.0 Woods Hole, MA 02540",,"This is a regular, full-time, exempt position, and is eligible for benefits. A Biogeochemical scientist/data analyst is sought to contribute to projects…"
https://www.indeed.com/viewjob?jk=279b694901f89941,"Security Engineer, Threat Surface Analysis",Facebook 4.2 Remote,,"The perfect candidate will have a cyber threat intelligence background, with experience in applying intelligence to corporate systems, quantitative analysis,…"
https://www.indeed.com/viewjob?jk=0c8878bf20973303,Junior Systems Administrator,OpenVault United States • Remote,,OpenVault LLC is looking for Jr Systems Administrator to monitor and maintain systems and infrastructure to support its growing customer base and expanding…
https://www.indeed.com/viewjob?jk=14aedd3e72b02020,"Scientist 1, Optical Systems","Areté 3.9 Valparaiso, FL",,"This is an exempt non-supervisory full-time position. The candidate will be responsible for designing, modeling, and simulating active and passive optical…"
https://www.indeed.com/viewjob?jk=ec36299f56189c31,Senior Django/Python Developer,"Small Planet 5.0 Brooklyn, NY",,"The right candidate will be able to discuss the needs of our clients, identify the correct technology stack for the situation, and then execute and deliver…"
https://www.indeed.com/viewjob?jk=0b7c53eaac5fd7aa,Threat Hunter,"Palo Alto Networks 3.9 Santa Clara, CA",,Analyze data from real customer environments to identify stealthy and sophisticated attacks that would otherwise go unnoticed.
https://www.indeed.com/viewjob?jk=7abf496635bdcabb,Research Associate,"Baylor College of Medicine 3.9 Houston, TX 77030 (Medical Center Area area)",,"Performs complex research of an advanced nature under the general direction of the Principal Investigator. Plans, directs and conducts research experiments."
https://www.indeed.com/viewjob?jk=92441b01fbfb4df6,Python Programmer Instructor,"SAM Consulting Services, Inc. New York, NY 10001 (Clinton area) • Remote",,We are looking for an experienced midrange Python Programmer/Developer Instructor to teach part-time some evening (7pm-9:30pm) or/and weekend (10am-4pm) classes…
https://www.indeed.com/viewjob?jk=b1fb790bdcbe3282,Technology Software Engineering Internship,"Nordstrom 3.9 Seattle, WA",,"Today Nordstrom operates 354 stores in 40 states, including 100 full-line stores in the United States and Canada; 247 Nordstrom Rack stores; two clearance…"
https://www.indeed.com/viewjob?jk=805b19901cecf20c,Entry-Level Software Developer,"LOCKHEED MARTIN CORPORATION 4.0 Herndon, VA 20171",,Cyber is an essential element of Space’s strategy for growth as these skillsets have become essential to meeting customer and internal needs.
https://www.indeed.com/viewjob?jk=fe9ec5d15191853b,Python/Scala Developer,"Cognizant Technology Solutions 3.9 Plano, TX • Remote",,Cognizant is looking for Python/Scala Developer to join our Artificial Intelligence and Analytics practice (AIA) for a remote project.
https://www.indeed.com/viewjob?jk=a88febb92a086d05,Data Analyst,"National Geospatial-Intelligence Agency 4.1 St. Louis, MO +1 location","$92,568 - $157,709 a year",Data Analysts apply tools and algorithms to identify trends and patterns in data. They communicate with stakeholders and conduct research to develop an…
https://www.indeed.com/viewjob?jk=8f2e1f71216c3fd4,Quantitative Trading Intern (Summer 2021),"Tower Research Capital 4.1 New York, NY 10013 (Tribeca area)",,"As a Quantitative Trading Intern, you'll draw on your knowledge of mathematics, computer science and statistics to uncover patterns in vast amounts of financial…"
https://www.indeed.com/viewjob?jk=eee32cc0b68d15ea,Python Programmer Analyst,"Lipscomb University 4.2 Nashville, TN 37204",,"Develop, document, test, and implement computer-related information systems, manage production; support users. Knowledge of related software included Redis."
https://www.indeed.com/viewjob?jk=816fd99c3f0f3515,Engineer III- Python,"Anthem 3.7 Jersey City, NJ 07306 (Journal Square area) • Remote",,"Responsible for the delivery of end to end system development and maintenance on complex technology systems within assigned client group, business unit or…"
https://www.indeed.com/viewjob?jk=a2e8830485cc2dd9,Entry-Level Computer Engineer,"Opal Kelly Portland, OR 97223",,"Tasks will include customer technical support, creating some product marketing materials, and performing internal support activities such as test and…"
https://www.indeed.com/viewjob?jk=eb12bc07dc97b91b,Data Science & Artificial Intelligence Intern,"zz-AstraZeneca Pharmaceuticals Inc Gaithersburg, MD 20878",,"We are currently seeking candidates who are working towards obtaining a Bachelor, Master, or Doctorate degree in Data Science, Computer Science, Math,…"
https://www.indeed.com/viewjob?jk=58e3ee01539ae678,Python Developer,"AllianceBernstein 3.5 Nashville, TN",,"Build out a local python based API to enable portfolio managers, quantitative analysts and other developers to interact with the platform in a rapid and…"
https://www.indeed.com/viewjob?jk=4e11ff0fbb4a0002,Research Scientist Thinfilm Characterization and Vacuum Tech...,"KLA-Tencor 4.0 Ann Arbor, MI",,"No laptop, smartphone, wearable device, voice-controlled gadget, flexible screen, VR device or smart car would have made it into your hands without us."
https://www.indeed.com/viewjob?jk=67008ecde32d356f,Python Developer,Indus Group United States,,4 years of extensive scripting experience preferably with python and shell. Desig and solve issues with extensive scripting experience preferably with python…
https://www.indeed.com/viewjob?jk=b46a7bfa6bd00463,Software Engineer - Python,"Balyasny 4.0 Boston, MA",,"The Software Engineer will be a key member of a small, focused product team working to create new platforms that BAM’s data analysts, data scientists,…"
https://www.indeed.com/viewjob?jk=5818da0abdfd4009,JUNIOR SOFTWARE DEVELOPER,"Fundamental Interactions New York, NY 10001 (Flatiron District area)",,Work with other developers and project managers to develop and deliver software products and solution implementations.
https://www.indeed.com/viewjob?jk=7d2b790d1b5b751c,Data Scientist,"Change Research 4.5 San Francisco, CA","$90,000 - $130,000 a year","3+ years building models in a Python-heavy codebase. Strong SQL and R skills, as a way to engage with data analysts in the company."
https://www.indeed.com/viewjob?jk=f6ec0dee80b07b8f,Data Scientist,Fusion Connect 2.6 Georgia • Remote,,Develop a customer segmentation model. Perform customer segmentation analysis to drive retention and upsell campaigns.
https://www.indeed.com/viewjob?jk=3b9b8f1b59c4f96f,Software Engineer,"Grist Labs New York, NY",,"You will work on core areas of the product and be responsible for designing, architecting, and building innovative features."
https://www.indeed.com/viewjob?jk=3aae4af40d0f7148,Data Analyst - Python/SQL,"Gainwell Technologies Williston, VT 05495",,Assists in planning and designing business processes; assists in formulating recommendations to improve and support business activities.
